CSG_HOUSEKEY,Transaction_Type,Transaction_Date,Transaction_Result,Order__c,CSG_CABLE_SERV_STATUS,CSG_INTERNET_SERV_STATUS,CSG_PHONE_SERV_STATUS,CSG_SECURITY_SERV_STATUS,CSG_CABLE_SERV_DATE,CSG_INTERNET_SERV_DATE,CSG_PHONE_SERV_DATE,CSG_SECURITY_SERV_DATE,CSG_DROP_TYPE,CSG_VIDEO_TAP_STATUS,ELOC_CUSTOMFIELD1,JT_DBIG_CODE,CSG_DROP_STATUS,CSG_DWELL_TYPE,CSG_DWELL_CATEGORY,CSG_DWELL_SUBCATEGORY,CSG_HOUSE_STATUS,ELOC_ESLAM_PLG,HBB_COUNT,PBB_COUNT,MIP_TOTAL_EST_QB_COAX,MIP_TOTAL_BUSINESSES_IN_SMB,COSTAR_PROPERTY_TYPE,COSTAR_PROPERTY_SUBTYPE,COSTAR_MALL,COSTAR_RENTABLE_BUILDING_AREA,COSTAR_TYPICAL_FLOOR_SIZE,COSTAR_NUMBER_OF_STORIES,COSTAR_YEAR_BUILT,YEAR_RENOVATED,COSTAR_TENANTS,TAP_DROP_TYPE,TAP_NUM_PORTS,MIP_BUILDING_LAT_LONG_CODE,IQ_ROUTE_COST_COAX,MIP_BUILDING_TYPE,MIP_IN_PROBUILD,BLDG_CABLE_SERV_STATUS,BLDG_INTERNET_SERV_STATUS,BLDG_PHONE_SERV_STATUS,BLDG_SECURITY_SERV_STATUS,BLDG_DROPSTATUS,Master_HKSvc,Master_BldgBilling,Master_HKSvcPost12_22_13,Master_ResiHK,Master_RecentRTISurvey,Master_BldgService,Master_RecentRTIPIV,Master_ValidECF1Const,Master_PlantNearParcel,Master_JTConstruction,Const_RecentDOIFNoConst,Const_ConstSurveyNoConst,Const_U32PIVNoConst,Const_FiberOnlyBldg,Const_HouseStatusMY,Const_HouseStatusMZ,Const_NeverSvcBldg,Green_ActiveSuiteCoax,Green_ActiveSuiteMultiPlusVideo,Green_SvcResiHK,Green_SuiteBilling,Green_ProBuildConstWithROE,Green_AerialDrop150Ft,Green_PlantOnParcel,PIV_SuiteFiber,PIV_SuiteMultiNoVideo,PIV_SuiteNonStandardSurvey,PIV_ProBuildConstNoROE,PIV_NeverSvcSuite,PIV_PLG,PIV_RFOG,PIV_LargeSingleTenant,PIV_LargeMultiTenant,PIV_MallSuiteNoRTI,PIV_HardDisco
5.40E+13,Install,12/5/2017,Complete,a0V1H00000E0mHYUAZ,S,S,S,S,4/26/2001,9/24/2005,1/17/2007,3/1/2017,COAX,1, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,S2, ,0,1,1,1,Retail,Storefront Retail/Office,0,4464,2536,2,0,0,1,NULL,NULL,CoStar,147.1,COMMERCIAL,0,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.42E+13,Install,12/6/2017,Complete,a0V1H00000DO6PVUA1,S,S,S,N,4/7/1999,4/7/1999,7/10/2014,1/26/2016,COAX,3, ,NULL,3,CL,COMMERCIAL,NON_PROFIT,S2, ,0,1,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S5HPNTSCZA,0,COMMERCIAL,0,1,1,1,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.50E+13,Install,12/5/2017,Complete,a0V1H00000DOZo8UAH,S,S,S,S,6/12/2014,6/12/2014,6/12/2014,2/21/2017,COAX,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,S2, ,0,1,1,1,Retail,Freestanding,0,2534,2534,1,1961,0,1,NULL,NULL,CoStar,251.93,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.50E+13,Install,12/5/2017,Complete,a0V1H00000E0kOoUAJ,S,S,S,S,2/16/2004,9/24/2005,2/21/2006,1/26/2016,COAX,3, ,NULL,1,AA,RESIDENTIAL,SINGLE FAMILY,S2, ,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,175.72,RESIDENTIAL,0,1,2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.50E+13,Install,12/5/2017,Complete,a0V1H00000E0kOoUAJ,N,S,S,N,8/29/2017,8/29/2017,8/29/2017,8/29/2017,COAX,0, ,NULL,1,HA,COMMERCIAL,BUSINESS,SN, ,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,175.72,RESIDENTIAL,0,1,2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.50E+13,Install,12/6/2017,Complete,a0V1H00000E0Z8hUAF,S,S,S,S,9/21/2016,9/21/2016,9/21/2016,2/21/2017,COAX,0,G09003973,NULL,0,CL,COMMERCIAL,NON_PROFIT,S2,PLGC0917,0,1,11,10,Office,,0,17215,4267,2,0,0,1,NULL,NULL,CoStar,110.14,COMMERCIAL,0,17,17,17,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,8/15/2018,Complete,a0V1H00000G0KhuUAF,S,S,S,S,4/26/2001,9/24/2005,3/20/2006,1/26/2016,COAX ,0, ,NULL,0,AA,RESIDENTIAL,SINGLE FAMILY,G2, ,0,1,1,1,Retail,,1,3923,3923,1,1970,0,1,NULL,NULL,Costar,2096.68,COMMERCIAL,0,1,1,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5.51E+13,Install,12/5/2017,Complete,a0V1H00000E1EN0UAN,S,S,S,S,11/19/2003,9/24/2005,3/20/2006,1/26/2016,COAX,1, ,NULL,1,AA,RESIDENTIAL,SINGLE FAMILY,G2, ,2,0,2,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,0,RESIDENTIAL,0,1,2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/5/2017,Complete,a0V1H00000E1EN0UAN,N,S,S,N,10/20/2016,10/20/2016,10/20/2016,10/20/2016,COAX,0, ,NULL,1,HA,COMMERCIAL,BUSINESS,GN, ,2,0,2,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,0,RESIDENTIAL,0,1,2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/6/2017,Complete,a0V1H00000BQ0LgUAL,S,S,S,S,10/18/2017,10/18/2017,10/18/2017,10/18/2017,COAX,0,H11026738,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2, ,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,390.69,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
